movie_id,trakt_id,title,year,rating,votes
239,483,The Matrix Revolutions,2003.0,7.16055,25214.0
240,73293,The Amazing Spider-Man 2,2014.0,6.81189,25846.0
241,299910,Doctor Strange in the Multiverse of Madness,2022.0,7.07774,25314.0
242,83040,Dawn of the Planet of the Apes,2014.0,7.64247,24345.0
243,3798,No Country for Old Men,2007.0,7.99701,23741.0
244,102162,Divergent,2014.0,6.94442,25477.0
245,313,Kill Bill: Vol. 2,2004.0,8.03114,23664.0
246,187173,The Nice Guys,2016.0,7.38423,24673.0
247,416151,Shang-Chi and the Legend of the Ten Rings,2021.0,7.42592,24540.0
248,1237,Transformers,2007.0,7.19076,24848.0
249,84,The Big Lebowski,1998.0,8.03298,23437.0
250,923208,Action Movie,2020.0,,
251,523519,American Girl Dolls: The Action Movie with Anna Chlumsky,2015.0,,
252,868832,An Awesome Action Movie,2023.0,,
253,760069,Banana Action Movie,,,
254,469576,The Last Guest - A Roblox Action Movie,2018.0,,
255,1196554,The Minions: Live Action Movie,,,
256,913466,An Action Movie,2017.0,,
257,903742,WEYMOUTH'S FIRST ACTION MOVIE,2021.0,,
258,901017,WEYMOUTH'S THIRD ACTION MOVIE,,,
259,844818,"If ""The Room"" Was An Action Movie",2020.0,,
260,844607,"If ""The Room"" Was An Action Movie: The Final Chapter",2021.0,,
261,779024,Super Tromette Action Movie Go!,2008.0,,
262,760232,Banana Action Movie,2020.0,,
263,646711,The Last Guest - A Roblox Action Movie,2017.0,,
264,317496,"Remo, Rambo, Reagan and Reds: The Eighties Action Movie Explosion",2014.0,,
265,280117,Gintama,2017.0,,
266,215021,Detective Conan Drama Special 1: The Letter of Challenge,2006.0,,
267,111245,Detective Conan: Shinichi Kudo and the Kyoto Shinsengumi Murder Case,2012.0,,
268,147375,Lupin the 3rd,2014.0,,
269,385780,Gundam,,,
270,422787,Detective Conan: The Mystery of the Legendary Monster Bird,2011.0,,
271,734988,Love Live! Sunshine!!  Finally Live-action! ! !,2017.0,,
272,536130,Killers,2003.0,,
273,215426,Movie in Action,1987.0,,
274,5883,Looney Tunes: Back in Action,2003.0,,
275,125110,Tokusou Sentai Dekaranger THE MOVIE: Full Blast Action,2004.0,,
276,611906,Untitled Disney Live Action Nov. 2021 Movie,2021.0,,
277,1095409,THE ACTION FIST EXPLOSION MOVIE,2023.0,,
278,502677,Close Range FULL MOVIE (Scott Adkins ACTION),,,
279,10651,G.I. Joe: The Movie,1987.0,,
280,50119,Action Man: X Missions The Movie,2005.0,,
281,692912,Neon Genesis Evangelion: Theatrical Edition #26 Live Action Part (Special Rush Edit Version),2003.0,,
282,324581,The Movies: 'Action Speaks Louder Than Words',1967.0,,
283,805807,The Plague Of Live Action Disney Movies,,,
284,805777,The Plague Of Live Action Disney Movies,,,
285,337163,Ready Action! Violence Movies,2014.0,,
286,773512,Behind the Action: Stuntmen in the Movies,2002.0,,
287,82483,The Art of Action: Martial Arts in the Movies,2002.0,,
288,315855,Best Friends – The Movie,2015.0,,
289,137952,Gatchaman,2013.0,,
290,87329,Rurouni Kenshin Part I: Origins,2012.0,,
291,111981,"Big Guns, Bigger Heroes: The 1980's and the Rise of the Action Film",2012.0,,
292,1119073,Color Star Action Film,2024.0,,
293,1115444,Untitled Rodin Rastani Action Film Project,,,
294,1074339,GATECRASHER: An All-Women’s Parkour Action Film,2024.0,,
295,995688,Danny Phantom Live Action Film,,,
296,681127,Untitled Damon Caro Action Film,,,
297,1175573,Untitled Bong Joon Ho Horror Action Film,,,
298,992925,Untitled Shah Rukh Khan/Karan Johar action film,,,
299,32664,Detective Conan Drama Special 2: Confrontation With the Men in Black,2007.0,,
300,387928,Rugrats,,,
301,1152698,SCP: The Doctor,2024.0,,
302,476692,Our Girls,1942.0,,
303,755245,Uncharted: Live Action Fan Film,2018.0,,
304,1176218,Uncharted Live Action Fan Film,2018.0,,
305,744981,Upcoming Live Action Aristocats Film,,,
306,595089,Running [Remastered]:A Parkour Action Short film,,,
307,429060,Spies: A Small Film With Lots of Action,2006.0,,
308,366424,LIVE ACTION - The Adventure Zone Fan Film,2017.0,,
309,164329,Action Bill,2014.0,,
310,688478,Philippine Soldiers: The Action Films of Teddy Page,2021.0,,
311,289235,2017 Oscar Nominated Short Films - Live Action,2017.0,,
312,225935,2016 Oscar Nominated Short Films: Live Action,2016.0,,
313,502370,2020 Oscar Nominated Short Films - Live Action,,,
314,511061,Oscar Nominated Live Action Short Films 2013,2013.0,,
315,351337,2018 Oscar Nominated Short Films: Live Action,2018.0,,
316,1010484,2024 Oscar Nominated Short Films: Live Action,2024.0,,
317,857534,2019 Oscar Nominated Short Films: Live Action,2019.0,,
318,824474,The 2007 Academy Award Nominated Short Films: Live Action,2008.0,,
319,756241,2022 Oscar Nominated Short Films- Live Action,2022.0,,
320,681223,The 2006 Academy Award Nominated Short Films: Live Action,2007.0,,
321,646139,2021 Oscar Nominated Short Films: Live Action,2021.0,,
322,49636,Filmmakers in Action,2006.0,,
323,1169460,2025 Oscar Nominated Short Films: Live Action,2025.0,,
324,225723,Oscar Nominated Short Films 2016: Animation,2016.0,,
325,218372,The Oscar Nominated Short Films 2014: Live Action,2014.0,,
326,68433,The Oscar Nominated Short Films 2012: Live Action,2012.0,,
327,198955,Oscar Nominated Short Films 2015: Live Action,2015.0,,
328,4869,Last Action Hero,1993.0,,
329,435376,In Search of the Last Action Heroes,2019.0,,
330,400270,Fireman Sam: Set for Action!,2018.0,,
331,1058764,Action!,2024.0,,
332,485209,Action,,,
333,92526,Action,1980.0,,
334,484084,Action,,,
335,1123875,Action,,,
336,1118844,Action!!!,2024.0,,
337,997953,Action!,2024.0,,
338,956587,Action,2023.0,,
339,954258,Action!,2023.0,,
340,872441,Action!,,,
341,840443,Action!,2022.0,,
342,746541,Action,2022.0,,
343,601619,Action!,2019.0,,
344,465623,Action,2019.0,,
345,588297,Action,2019.0,,
346,76351,Action,1987.0,,
347,1133826,Action!,2022.0,,
348,808018,Action!,2021.0,,
349,782442,Action,2014.0,,
350,760121,Action!,2022.0,,
351,271021,Action,1921.0,,
352,1165385,Action!,1995.0,,
353,1060424,ACTION !,2024.0,,
354,300747,Action Point,2018.0,,
355,4711,A Civil Action,1998.0,,
356,9334,Missing in Action,1984.0,,
357,5334,Action Jackson,1988.0,,
358,159412,"Monster High: Frights, Camera, Action!",2014.0,,
359,7486,Missing in Action 2: The Beginning,1985.0,,
360,707465,An Action Hero,2022.0,,
361,16785,Braddock: Missing in Action III,1988.0,,
362,34626,Action Replayy,2010.0,,
363,841328,The Action Pack Saves Christmas,2022.0,,
364,366621,Action Figures,2015.0,,
365,384766,Action Figures 2,2018.0,,
366,1119372,Mark – A Call to Action,,,
367,9472,Straight Up: Helicopters in Action,2002.0,,
368,112614,Strip for Action,1995.0,,
369,515031,Kung Fu Action Masters,2000.0,,
370,749468,WWE Action Zone!,1997.0,,
371,127024,Rock 'n' Roll Space Patrol Action Is Go!,2005.0,,
372,229319,Maniac Killer 2 - Back in Action,1995.0,,
373,1037839,A Piece of the Action,1962.0,,
374,955013,A Piece of Her Action,1968.0,,
375,176549,Armed for Action,1992.0,,
376,1141115,Killer Bean Forever: Live Action,2023.0,,
377,1128332,Gorgeous In Action,2023.0,,
378,835555,Fallen Kingdom: Island Action,2018.0,,
379,466387,Action Man,2005.0,,
380,318155,The Making of... 'Spooky Action',2017.0,,
381,87954,Covert Action,1978.0,,
382,798786,Back in Action,2025.0,,
383,473569,Class Action Park,2020.0,,
384,9622,Class Action,1991.0,,
385,759901,A Man of Action,2022.0,,
386,15379,Mutant Action,1993.0,,
387,18569,A Piece of the Action,1977.0,,
388,13971,Action in the North Atlantic,1943.0,,
389,88118,Crayon Shin-chan: Action Mask vs. Leotard Devil,1993.0,,
390,772805,The Violence Action,2022.0,,
391,371066,The Accidental Detective 2: In Action,2018.0,,
392,18287,Executive Action,1973.0,,
393,65283,Action U.S.A.,1989.0,,
394,1156596,"Jerry Springer: Fights, Camera, Action",2025.0,,
395,466449,Love Action Drama,2019.0,,
396,17594,Direct Action,2004.0,,
397,404059,Legal Action,2018.0,,
398,57849,Action Man,1967.0,,
399,71296,Stand by for Action,1942.0,,
400,541020,Jerma Rumble: Live Action!,2016.0,,
401,685484,Untitled Teenage Mutant Ninja Turtles Live Action Reboot,,,
402,17011,Phoo Action,2008.0,,
403,1087647,Live Action Toy Story,2013.0,,
404,1027891,Hollywood's Hard Hitters: Women in Action,2023.0,,
405,779596,Heavy Haulage in Action- A Steel Giant On The Road,2021.0,,
406,898012,Celebrity Manhunt's Total Drama Action Reunion Special,2010.0,,
407,19309,Back in Action,1994.0,,
408,191829,Violence of Action,2012.0,,
409,641094,Love in Action,2010.0,,
410,20769,The Underground Comedy Movie,1999.0,,
411,1085062,Horror Comedy Movie,2020.0,,
412,899912,Playa Connection: Da Comedy Movie,2023.0,,
413,872110,BBq Pimp Tang Sauce Da Comedy Movie,2018.0,,
414,1139993,Movie with Comedy and Drama,,,
415,10148,The Comedians of Comedy,2005.0,,
